"","PROBEID","SYMBOL","stat_expr","p_val_expr","padjust_expr","reg"
"1","207266_x_at","RBMS1",20.5784645127299,5.52639924529169e-43,2.19182520467514e-38,"up"
"2","209356_x_at","EFEMP2",20.3321202866381,3.37233989501583e-41,1.91071960823175e-37,"up"
"3","203748_x_at","RBMS1",20.2959974973448,2.81527765785227e-42,5.58283635940394e-38,"up"
"4","1555724_s_at","TAGLN",20.1071686453893,5.6265587136901e-42,7.43849817145544e-38,"up"
"5","200788_s_at","PEA15",19.9729795139428,1.12715030905414e-39,4.47039084073964e-36,"up"
"6","205547_s_at","TAGLN",19.8925122196625,1.54318032157211e-41,1.53010186834679e-37,"up"
"7","209868_s_at","RBMS1",19.8735553307095,2.52059754545202e-41,1.8883573971079e-37,"up"
"8","1555630_a_at","RAB34",19.8073278395449,2.85674702671324e-41,1.8883573971079e-37,"up"
"9","213413_at","STON1",19.6955309165704,8.40737931167118e-39,2.22296713920127e-35,"up"
"10","206580_s_at","EFEMP2",19.6801990862637,9.82316814419265e-38,1.77089396257648e-34,"up"
"11","235350_at","C4orf19",-12.9964393679278,1.38862314490874e-22,8.99904943631137e-21,"down"
"12","236513_at","PRELID2",-12.8255416357119,3.83740274697594e-24,3.08712434782581e-22,"down"
"13","220622_at","LRRC31",-12.7620269107839,4.01798914242922e-24,3.21934277531081e-22,"down"
"14","203240_at","FCGBP",-12.5336464931352,3.67196598495091e-22,2.28984029762796e-20,"down"
"15","227725_at","ST6GALNAC1",-12.2486424560812,4.8684255569258e-20,2.29187645382516e-18,"down"
"16","234008_s_at","CES3",-12.0100402540068,7.45032042636412e-23,5.01638553598356e-21,"down"
"17","214106_s_at","GMDS",-11.9531880694867,3.61183275705403e-19,1.52068894880594e-17,"down"
"18","226302_at","ATP8B1",-11.9453212391497,1.25314911004258e-20,6.31526643626415e-19,"down"
"19","212814_at","AHCYL2",-11.7812618505027,2.74143379212015e-21,1.50592805580716e-19,"down"
"20","219573_at","CARMIL1",-11.6790455159196,1.1134662839615e-20,5.65444126609435e-19,"down"
